country,code,year,trade,gini,unemploy,gdp_pc,inflation,tax
United Kingdom,GBR,2015,57.2035496863734,33.3,5.517,44964.391143729204,0.36804684232536,25.066646629629457
United Kingdom,GBR,2016,59.70039841437605,33.1,4.867,45482.466861855086,1.0084173681141,25.455038423012134
United Kingdom,GBR,2017,63.1216500310687,32.6,4.452,46374.58111670584,2.55775577557747,25.596859900829877
United Kingdom,GBR,2018,64.54264825043302,33.7,4.12,46742.14811904931,2.29283990345938,25.54671644897747
United Kingdom,GBR,2019,64.66513363722352,32.8,3.613,47234.24660705129,1.73810460086513,25.111272959070618
United States,USA,1996,22.687071990241197,40.3,5.451,42783.81656978254,2.93120419993441,11.373914577284971
United States,USA,1997,23.428327802617808,40.5,5,44151.68604143667,2.33768993730735,11.828199933967174
United States,USA,1998,22.825893979763688,40,4.511,45596.43068434751,1.55227909874364,12.329830779988164
United States,USA,1999,23.31356972962377,40,4.219,47234.24552752293,2.18802719697358,12.259982481882787
United States,USA,2000,25.102985556853646,40.1,3.992,48616.25462578003,3.37685727149929,12.970795297841606
United States,USA,2001,22.967183015497458,40.6,4.731,48597.424614200514,2.82617111885407,11.857704771974939
United States,USA,2002,22.286384213606453,40.4,5.783,48967.366120115905,1.58603162650601,9.868016676200838
United States,USA,2003,22.6272972866813,40.8,5.989,49905.523307423646,2.27009497336115,9.390692579289396
United States,USA,2004,24.448056657190406,40.3,5.529,51348.347337622276,2.67723669309172,9.537470791170085
United States,USA,2005,25.638557343676915,41,5.084,52649.57130546835,3.3927468454955,10.681732931866893
United States,USA,2006,26.975285805890348,41.4,4.623,53596.31523720001,3.22594410070404,11.310478899080842
United States,USA,2007,28.012015563109827,40.8,4.622,54152.82926512988,2.85267248150138,11.28991266408129
United States,USA,2008,29.867787525706063,40.8,5.784,53703.96289612665,3.839100296651,10.276188091669374
United States,USA,2009,24.759527635837024,40.6,9.254,51863.618341192276,-0.355546266299747,7.903517092440586
United States,USA,2010,28.219882940833628,40,9.633,52821.40476434038,1.6400434423899,8.56322203026373
United States,USA,2011,30.842478575913994,40.9,8.949,53259.2552138539,3.156841568622,9.538928617491633
United States,USA,2012,30.681839575193017,40.9,8.069,54080.22864972149,2.06933726526067,9.76391736911044
United States,USA,2013,29.941306284822716,40.6,7.375,54844.24257971542,1.46483265562717,10.460225454147796
United States,USA,2014,29.906569337427957,41.5,6.168,55817.56324719583,1.62222297740817,10.899748173259432
United States,USA,2015,27.68821393407681,41.2,5.28,57040.20821366048,0.118627135552451,11.18282795989444
United States,USA,2016,26.452597786546526,41.1,4.869,57658.6708825722,1.26158320570536,10.85451498765243
United States,USA,2017,27.125338222287443,41.2,4.355,58703.14407801612,2.13011000365961,11.503886732793864
United States,USA,2018,27.44535913026185,41.4,3.896,60127.21027624589,2.44258329692817,9.929538940642265
United States,USA,2019,26.25848062454277,41.5,3.669,61400.548154368655,1.81221007526021,9.885825345629351
